year,college_name,branch,category,opening_rank,closing_rank,city,college_type
2024,LDCE Ahmedabad,Computer Engineering,OP,16,165,Ahmedabad,Government
2024,LDCE Ahmedabad,Information Technology,OP,51,161,Ahmedabad,Government
2024,LDCE Ahmedabad,Computer Engineering,EW,55,163,Ahmedabad,Government
2024,LDCE Ahmedabad,Computer Engineering,SEBC,65,163,Ahmedabad,Government
2024,LDCE Ahmedabad,AI And Machine Learning,OP,163,190,Ahmedabad,Government
2024,LDCE Ahmedabad,Mechanical Engineering,OP,89,161,Ahmedabad,Government
2024,LDCE Ahmedabad,Civil Engineering,OP,38,168,Ahmedabad,Government
2024,LDCE Ahmedabad,EC Engineering,OP,110,146,Ahmedabad,Government
2024,LDCE Ahmedabad,Chemical Engineering,OP,134,154,Ahmedabad,Government
2024,Nirma University Ahmedabad,Computer Science & Engineering,OP,93,183,Ahmedabad,Private
2024,Nirma University Ahmedabad,Computer Science & Engineering,EW,81,162,Ahmedabad,Private
2024,Nirma University Ahmedabad,Computer Science & Engineering,SEBC,72,156,Ahmedabad,Private
2024,Nirma University Ahmedabad,Computer Science & Engineering,SC,48,155,Ahmedabad,Private
2024,Nirma University Ahmedabad,EC Engineering,OP,93,148,Ahmedabad,Private
2024,Nirma University Ahmedabad,Mechanical Engineering,OP,24,167,Ahmedabad,Private
2024,Nirma University Ahmedabad,Chemical Engineering,OP,99,115,Ahmedabad,Private
2024,Nirma University Ahmedabad,Civil Engineering,OP,88,174,Ahmedabad,Private
2024,VGEC Ahmedabad,Computer Engineering,OP,158,165,Ahmedabad,Government
2024,VGEC Ahmedabad,Computer Engineering,EW,133,157,Ahmedabad,Government
2024,VGEC Ahmedabad,Information Technology,OP,157,161,Ahmedabad,Government
2024,VGEC Ahmedabad,Information Technology,EW,148,157,Ahmedabad,Government
2024,VGEC Ahmedabad,CSE Data Science,OP,137,157,Ahmedabad,Government
2024,VGEC Ahmedabad,IC Technology,OP,142,151,Ahmedabad,Government
2024,VGEC Ahmedabad,Mechanical Engineering,OP,111,135,Ahmedabad,Government
2024,VGEC Ahmedabad,EC Engineering,OP,89,128,Ahmedabad,Government
2024,PDEU Gandhinagar,Computer Engineering,OP,149,168,Gandhinagar,Private
