year,marks,category,rank,opening_rank,closing_rank
2022,157.0,EW,52,52,104
2022,142.0,EW,104,104,131
2022,133.0,EW,131,131,191
2022,122.0,EW,191,191,200
2022,120.0,EW,200,200,211
2022,118.0,EW,211,211,258
2022,108.0,EW,258,258,405
2022,85.0,EW,405,405,405
2022,186.0,OP,1,1,2
2022,183.0,OP,2,2,3
2022,180.0,OP,3,3,4
2022,179.0,OP,4,4,5
2022,177.0,OP,5,5,6
2022,175.0,OP,6,6,9
2022,172.0,OP,9,9,12
2022,170.0,OP,12,12,14
2022,168.0,OP,14,14,15
2022,167.0,OP,15,15,16
2022,166.0,OP,16,16,22
2022,164.0,OP,22,22,27
2022,163.0,OP,27,27,31
2022,162.0,OP,31,31,37
2022,160.0,OP,37,37,41
2022,159.0,OP,41,41,45
2022,158.0,OP,45,45,54
2022,156.0,OP,54,54,56
2022,155.0,OP,56,56,61
2022,154.0,OP,61,61,64
2022,153.0,OP,64,64,73
2022,151.0,OP,73,73,76
2022,150.0,OP,76,76,78
2022,149.0,OP,78,78,83
2022,148.0,OP,83,83,91
2022,147.0,OP,91,91,87
2022,146.0,OP,87,87,93
2022,145.0,OP,93,93,100
2022,144.0,OP,100,100,102
2022,143.0,OP,102,102,106
2022,140.0,OP,106,106,115
2022,139.0,OP,115,115,118
2022,137.0,OP,118,118,125
2022,136.0,OP,125,125,129
2022,135.0,OP,129,129,132
2022,134.0,OP,132,132,140
2022,131.0,OP,140,140,152
2022,130.0,OP,152,152,166
2022,127.0,OP,166,166,170
2022,126.0,OP,170,170,178
2022,125.0,OP,178,178,180
2022,124.0,OP,180,180,181
2022,123.0,OP,181,181,188
2022,121.0,OP,188,188,206
2022,119.0,OP,206,206,213
2022,117.0,OP,213,213,220
2022,116.0,OP,220,220,226
2022,114.0,OP,226,226,235
2022,112.0,OP,235,235,246
2022,111.0,OP,246,246,248
2022,110.0,OP,248,248,253
2022,109.0,OP,253,253,264
2022,107.0,OP,264,264,270
2022,106.0,OP,270,270,274
2022,105.0,OP,274,274,283
2022,103.0,OP,283,283,285
2022,102.0,OP,285,285,293
2022,101.0,OP,293,293,308
